,Location,State,Time,Summary Description,Primary Activity,Primary Travel Mode,Location Setting,Caught,"Partially Buried, Non-Critical","Partially Buried, Critical",Fully Buried,Injured,Killed,Type,Trigger,Trigger (subcode),Size - Relative to Path,Size - Destructive Force,Sliding Surface,Slope Aspect,Site Elevation,Slope Angle,Slope Characteristic
87,"South of Red Mountain Pass, Sam's Trees",Colorado,"
12:00 AM
","2 backcountry skiers caught and partially buried, 1 killed",Backcountry Tourer,Ski,Backcountry,2,1,1,0,0,1,SS,AS - Skier,u - An unintentional release,R3,D2,O - Within Old Snow,NE,11092 ft,38 °,Convex Slope
88,"Southeast of Reas Peak, Centennial Range",Idaho,"
2:00 PM
(Estimated)","1 snowbiker caught, buried, and killed",Snowmobiler,Snowmobile,--,1,0,0,1,0,1,SS,AM - Snowmobile,u - An unintentional release,R2,D2,--,E,7750 ft,35 °,Gully/Couloir
89,"Northwest of Reas Peak, Centennial Range",Idaho,"
Unknown
",1 snowmobiler killed,Snowmobiler,Snowmobile,Backcountry,1,0,0,1,0,1,SS,AM - Snowmobile,u - An unintentional release,R1,D2,I - New/Old Interface,SW,8700 ft,36 °,--
90,"Cabin Creek, southern Madison Range",Montana,"
4:05 PM
(Estimated)","1 snowmobiler caught, buried, and killed",Snowmobiler,Snowmobile,Backcountry,1,0,0,1,0,1,HS,AM - Snowmobile,u - An unintentional release,R4,D2,O - Within Old Snow,SW,8800 ft,38 °,Gully/Couloir
91,"Commissary Ridge, Salt River Range",Wyoming,"
1:00 PM
(Estimated)","3 snowmobilers caught, 2 partially buried, 1 buried and killed",Snowmobiler,Snowmobile,Backcountry,3,2,0,1,0,1,SS,AM - Snowmobile,--,R3,D2.5,O - Within Old Snow,E,9760 ft,37 °,--
92,"Marmot Mountain, Hatcher Pass",Alaska,"
2:00 PM
(Estimated)","1 backcountry tourer caught, buried, and killed",Backcountry Tourer,Ski,Backcountry,1,0,0,1,0,1,HS,AS - Skier,u - An unintentional release,R3,D2,O - Within Old Snow,SW,3600 ft,34 °,"Convex Slope,Gully/Couloir"
93,"Imp Peak, southern Madison Range",Montana,"
Unknown
","2 backcountry tourers caught, 1 partially buried, 1 buried and killed",Backcountry Tourer,Ski,Backcountry,2,1,0,1,0,1,HS,AS - Skier,u - An unintentional release,R3,D2,O - Within Old Snow,N,10008 ft,42 °,--
94,"Red Mountain, north of Snoqualmie Pass",Washington,"
Unknown
","1 backcountry tourer caught, killed.",Backcountry Tourer,Foot,,0,,,0,0,1,--,--,--,--,--,--,--,--,--,--
95,North Pole,Alaska,"
1:30 PM
(Estimated)","1 resident partially buried-critical, later died",Resident,Foot,Town/Settlement,1,0,1,0,0,1,R,N -  Natural,--,--,--,--,--,--,--,--
96,"Hawkins Mountain, north of Cle Elum",Washington,"
Unknown
","2 snowmobilers caught, 1 partially buried, 1 buried and killed",Snowmobiler,Snowmobile,,1,,,1,0,1,--,--,--,--,--,--,--,--,--,--
97,"Near West Lost Lake, Flat Tops Wilderness area",Colorado,"
10:05 AM
(Estimated)","2 snow bike riders caught, 1 buried and killed",Snowmobiler,Snowmobile,Backcountry,2,1,0,1,0,1,HS,AV - Vehicle (specify vehicle type in comments),u - An unintentional release,R3,D2,O - Within Old Snow,NE,10460 ft,33 °,Sparse Trees
98,"McCoy Creek, Caribou Range east of Idaho Falls",Idaho,"
11:40 AM
(Estimated)",1 snowmobiler buried and killed,Snowmobiler,Snowmobile,,0,,,1,0,1,--,--,--,--,--,--,--,--,--,--
99,"Near Cooper Landing, Kenai Peninsula",Alaska,"
2:00 PM
(Estimated)","2 snowmobilers caught, 1 partially buried, 1 buried and killed",Snowmobiler,Snowmobile,Backcountry,2,1,0,1,0,1,HS,AM - Snowmobile,r - A remote avalanche released by the indicated trigger,R4,D3,O - Within Old Snow,NW,3000 ft,40 °,--
100,"Mt. Stanton, north of West Glacier",Montana,"
2:00 PM
(Estimated)","1 backcountry tourer caught, partially buried, and killed",Backcountry Tourer,Ski,Backcountry,1,0,0,0,0,1,SS,AS - Skier,u - An unintentional release,R2,D2,O - Within Old Snow,SW,7200 ft,35 °,--
101,"Near Crystal Mountain, south of Greenwater",Washington,,"1 backcountry tourer caught, partially buried, and killed",Backcountry Tourer,Ski,,0,,,0,0,1,--,--,--,--,--,--,--,--,--,--
102,West of White Pass Ski Area,Washington,,"1 sidecountry rider caught, killed",Sidecountry Rider,Ski,,0,,,0,0,1,--,AS - Skier,--,--,--,--,--,--,--,--
103,East of Grand Targee Resort,Wyoming,"
Unknown
","1 sidecountry rider caught, buried and killed",Sidecountry Rider,Foot,,0,,,1,0,1,C,AF - Foot penetration,--,R2,D2.5,--,N,9747 ft,45 °,"Ridgeline,Cornice"
104,"Henderson Mountain, near Cooke City",Montana,"
2:30 PM
","2 hybrid tourers caught, 1 partially buried, 1 buried and killed",Hybrid Rider,Ski,Backcountry,2,1,0,1,0,1,SS,AS - Skier,u - An unintentional release,R4,D2,O - Within Old Snow,NE,9375 ft,43 °,--
105,Mt. Rose Chutes - Closed Area,Nevada,"
10:18 AM
(Estimated)","1 inbounds rider caught, buried, and killed",Inbounds Rider,Ski,,0,,,1,0,1,SS,AS - Skier,--,--,D3,O - Within Old Snow,N,9200 ft,40 °,--
106,"Summit Lake area, Eastern Alaska Range",Alaska,"
7:00 PM
(Estimated)","1 snowmobiler caught, buried, killed",Snowmobiler,Snowmobile,,0,,,1,0,1,--,--,--,--,--,--,--,--,--,--
107,"Summit Lake area, Eastern Alaska Range",Alaska,"
12:00 AM
(Estimated)","2 snowmobilers caught, 1 partially buried, 1 buried and killed",Snowmobiler,Snowmobile,,2,,,1,0,1,--,--,--,--,--,--,--,--,--,--
108,Cat Ski Mount Bailey,Oregon,"
Unknown
","Mechanised guide caught, killed",Mechanised Guide,Ski,,0,,,0,0,1,--,--,--,--,--,--,--,--,--,--
109,"Chief Joseph Peak, Wallowa Mountains",Oregon,"
4:30 PM
",1 backcountry tourer partially buried-critical and killed,Backcountry Tourer,Ski,Backcountry,1,0,1,0,0,1,C,AS - Skier,u - An unintentional release,--,D2,--,NE,9380 ft,38 °,"Ridgeline,Cornice,Gully/Couloir"
110,Nelchina Glacier area,Alaska,"
Unknown
","1 snowmobiler caught, killed",Snowmobiler,Snowmobile,,0,,,0,0,1,--,--,--,--,--,--,--,--,--,--
111,Island Park,Idaho,"
5:21 PM
(Estimated)","3 residents buried, 1 killed",Resident,Foot,,0,,,3,0,1,R,N -  Natural,--,--,--,--,--,--,--,--
112,Grand Targhee Resort,Wyoming,"
Unknown
",1 sidecountry rider killed in cornice fall,Sidecountry Rider,Ski,,0,,,1,0,1,C,AF - Foot penetration,--,R2,D2,--,E,9736 ft,43 °,"Cornice,Below Cornice,Unsupported Slope"
113,Big Horn Mountains near Sheridan Wyoming,Wyoming,"
12:11 PM
",1 snowmobiler caught and killed,Snowmobiler,Snowmobile,Backcountry,1,0,0,0,0,1,HS,AM - Snowmobile,u - An unintentional release,R2,D1.5,Unknown,E,9502 ft,38 °,--
114,"Cottonwood Pass, west of Buena Vista",Colorado,"
11:00 AM
(Estimated)","1 snow bike rider, caught, partially buried-critical, and killed",Snowmobiler,Snowmobile,Backcountry,1,0,1,0,0,1,SS,AV - Vehicle (specify vehicle type in comments),u - An unintentional release,R2,D2,O - Within Old Snow,E,12200 ft,36 °,Convex Slope
115,"Lost Mine Creek, east of Wolf Creek Pass",Colorado,"
4:30 PM
(Estimated)","2 snowmobilers caught, 1 partially buried, 1 fully buried and killed",Snowmobiler,Snowmobile,Backcountry,2,1,0,1,0,1,SS,AM - Snowmobile,u - An unintentional release,R3,D2,O - Within Old Snow,E,9660 ft,40 °,Convex Slope
116,Twin Lakes near Brundage Mountain,Idaho,,1 snowmobiler caught and killed,Snowmobiler,Snowmobile,,0,,,0,0,1,--,--,--,--,--,--,--,--,--,--
117,"Willow Draw near Park City Mountain Resort, Utah",Utah,,"1 sidecountry rider, caught, buried and killed",Backcountry Tourer,Ski,,0,,,1,0,1,--,--,--,--,--,--,--,8600 ft,--,Convex Slope
118,"Rock Springs drainage, south of Jackson Hole Mountain Resort",Wyoming,"
2:15 PM
(Estimated)","3 sidecountry riders caught, 2 buried and killed",Sidecountry Rider,Ski,Accessed BC from Ski Area,3,0,0,2,0,2,SS,AS - Skier,u - An unintentional release,R2,D2,O - Within Old Snow,SE,9900 ft,--,--
119,"Mt Herman, northeast of Mount Baker",Washington,"
1:25 PM
","2 backcountry tourers caught, 1 injured, 1 killed.",Backcountry Tourer,Foot,Backcountry,2,1,0,0,1,1,WS,N -  Natural,--,R3,D3,G - At Ground/Ice/Firm,NE,4850 ft,60 °,--
120,"Swede Creek area, Whitefish Range",Montana,"
1:30 PM
(Estimated)","2 snowmobilers caught, 1 partially buried not-critical, 1 buried and killed.",Snowmobiler,Snowmobile,--,2,1,0,1,1,1,SS,AM - Snowmobile,u - An unintentional release,R4,D2,O - Within Old Snow,--,--,--,--
121,"Red Mountain, Clear Creek County",Colorado,,"One snowboarder, caught and killed",Backcountry Tourer,Snowboard,,0,,,0,0,1,U,AU - Unknown artificial trigger,Unknown,--,--,Unknown,S,11000 ft,--,--
122,"Ruby Peak, Ruby Range west of Crested Butte",Colorado,"
2:00 PM
","2 snowmobilers caught, 1 partially buried uninjured, 1 fully buried and killed",Snowmobiler,Snowmobile,Backcountry,2,1,0,1,0,1,SS,AM - Snowmobile,u - An unintentional release,R3,D2,--,SE,11000 ft,35 °,Convex Slope
123,"Gobblers Knob, Big Cottonwood Canyon",Utah,"
Unknown
","2 backcountry tourers caught, 1 partially buried, 1 buried and killed",Backcountry Tourer,Ski,,0,,,1,0,1,SS,AS - Skier,u - An unintentional release,--,--,--,S,10000 ft,--,--
124,"Cedar Basin, west of Big Sky",Montana,"
2:49 PM
",1 backcountry tourer caught and killed,Backcountry Tourer,Ski,Backcountry,1,0,1,0,0,1,SS,AS - Skier,--,R2,D2,O - Within Old Snow,E,9459 ft,40 °,--
125,"Pyramid Peak, Teton Range",Wyoming,"
12:30 PM
(Estimated)","1 backcountry tourer caught, buried, and killed",Backcountry Tourer,Snowboard,Backcountry,1,0,1,0,0,1,SS,AR - Snowboarder,u - An unintentional release,R3,D2.5,O - Within Old Snow,SE,9200 ft,--,--
126,"Skyscraper Mountain, Hatcher Pass",Alaska,"
Unknown
",1 backcountry snowboarder fully buried and killed,Backcountry Tourer,Snowboard,,0,,,1,0,1,HS,AR - Snowboarder,--,R2,D2.5,O - Within Old Snow,S,4200 ft,43 °,--
127,"St Marys Lake, Front Range",Colorado,"
Unknown
","1 climber caught, buried, killed.",Climber,Foot,Backcountry,1,0,0,1,0,1,HS,Unknown,Unknown,R3,D2.5,O - Within Old Snow,E,11200 ft,--,Planar Slope
128,Backcountry near Sugar Bowl Ski Resort,California,,"1 sidecountry rider caught, killed",Sidecountry Rider,Ski,,0,,,1,0,1,--,--,--,--,--,--,--,--,--,--
129,"Grubstake Gulch, southwest of Hatcher Pass",Alaska,"
Unknown
",1 snowmobiler buried and killed,Snowmobiler,Snowmobile,Backcountry,1,0,0,1,0,1,HS,AM - Snowmobile,u - An unintentional release,R2,D2.5,I - New/Old Interface,W,3500 ft,40 °,--
130,Granite Mountain near Snoqualmie Pass,Washington,"
Unknown
",1 hiker killed,Hiker,Snowshoe,,0,,,0,0,1,--,--,--,--,--,--,--,--,--,--
131,"Sheep Mountain, north of Cooke City",Montana,"
1:00 PM
(Estimated)","3 snowmoiblers caught, 1 fully buried and killed",Snowmobiler,Snowmobile,Backcountry,3,1,1,1,0,1,SS,AM - Snowmobile,--,R2,D2.5,O - Within Old Snow,SE,9600 ft,--,--
132,Kendall Peak,Washington,,"1 backcountry tourer caught, killed",Backcountry Tourer,Ski,Backcountry,0,0,0,0,0,1,--,--,--,--,--,--,W,5300 ft,--,--
133,"Eldorado Bowl, Hatcher Pass",Alaska,,"1 backcountry tourer caught, buried, and killed",Backcountry Tourer,Ski,Backcountry,1,0,0,1,0,1,--,--,--,--,--,--,--,--,--,--
134,"Mt Russell, John Muir Wilderness",California,,"1 hiker caught, buried, and killed",Hiker,Foot,Backcountry,1,0,0,1,0,1,SS,AF - Foot penetration,u - An unintentional release,R2,--,--,NE,13100 ft,40 °,--
135,"Sickle Couloir, Mount Moran",Wyoming,"
Unknown
","4 backcountry tourers caught, 1 injured, 2 killed",Backcountry Tourer,Ski,Backcountry,4,0,0,0,1,2,WL,N -  Natural,--,R1,D1.5,--,NE,11040 ft,45 °,Gully/Couloir
136,"Beehive Peak, northern Madison Range",Montana,"
11:58 AM
","1 backcountry tourer caught, killed",Backcountry Tourer,Ski,Backcountry,1,0,0,0,0,1,SS,AS - Skier,u - An unintentional release,R1,D1,I - New/Old Interface,E,10400 ft,--,Gully/Couloir
137,"North of Tebay Lakes, Wrangell-St. Elias National Park and Preserve",Alaska,"
2:30 PM
(Estimated)",1 backcountry tourer killed in cornice collapse,Backcountry Tourer,Foot,Backcountry,1,0,0,1,0,1,C,AF - Foot penetration,u - An unintentional release,R2,D2,Unknown,W,7200 ft,--,"Ridgeline,Cornice,Unsupported Slope"
138,"Squaw Creek, near Cantwell",Alaska,"
1:00 PM
(Estimated)","1 snowmobiler caught, buried, lated succumbed to injuries",Snowmobiler,Snowmobile,Backcountry,1,0,0,1,0,1,HS,AF - Foot penetration,u - An unintentional release,--,D2,G - At Ground/Ice/Firm,SE,2300 ft,--,--
139,"Hell's Canyon, near Snowbasin Ski Resort",Utah,"
11:00 AM
","1 sidecountry rider caught, buried, and killed",Sidecountry Rider,Snowboard,Accessed BC from Ski Area,1,0,0,1,0,1,SS,AR - Snowboarder,u - An unintentional release,--,--,O - Within Old Snow,N,8700 ft,40 °,--
140,West side of Aspen Mountain - Peter Barker run/slide path,Colorado,"
2:45 PM
(Estimated)","One  skier caught,  buried, and killed",Sidecountry Rider,Ski,Accessed BC from Ski Area,1,0,0,1,0,1,SS,AS - Skier,u - An unintentional release,R2,D2,O - Within Old Snow,W,9990 ft,38 °,"Sparse Trees,Gully/Couloir"
141,"Kendall Mountain, Rabbit Ears/Arcade",Colorado,"
3:50 PM
","One backcountry skier, caught, carried, partially buried, and killed",Backcountry Tourer,Ski,Backcountry,1,0,1,0,0,1,HS,AS - Skier,u - An unintentional release,R2,D2,O - Within Old Snow,NW,11300 ft,40 °,"Convex Slope,Gully/Couloir"
142,Kelso Mountain,Colorado,"
10:02 AM
","One climber, traveling on snowshoes, caught, buried, and killed",Climber,Snowshoe,Backcountry,1,0,0,1,0,1,HS,AI - Snowshoer,u - An unintentional release,R2,D2,O - Within Old Snow,E,12200 ft,39 °,--
143,"Rainbow Ridge area, Delta Range",Alaska,"
1:30 PM
","2 backcountry tourers caught, 1 injured,1 killed",Backcountry Tourer,Ski,Backcountry,2,0,2,0,1,1,SS,AS - Skier,u - An unintentional release,R3,D2.5,I - New/Old Interface,NW,5500 ft,38 °,--
144,"Near Henderson Peak, Cooke City, Montana",Montana,,"One snowmobiler caught, buried, and killed",Snowmobiler,Snowmobile,Backcountry,1,0,0,1,0,1,SS,AM - Snowmobile,--,R4,D2,O - Within Old Snow,SW,9450 ft,37 °,--
145,"Liberty Ridge, Mount Rainier",Washington,,"6 climbers caught, buried and killed",Climber,Foot,,0,,,6,0,6,--,--,--,--,--,--,--,12800 ft,--,--
146,North face of Mount Shuksan,Washington,"
Unknown
",1 backcountry tourer (on ascent) caught and killed,Backcountry Tourer,Foot,,0,,,0,0,1,--,--,--,--,--,--,--,7000 ft,--,--
147,"Olson Gulch, west of Anaconda",Montana,"
10:00 AM
(Estimated)","1 backcountry skier caught, died on scene",Backcountry Tourer,Ski,--,1,1,0,0,0,1,WL,AS - Skier,u - An unintentional release,R2,D2,I - New/Old Interface,NE,7890 ft,38 °,Sparse Trees
148,Crater Lake National Park,Oregon,,1 snowshoer caught in cornice fall,Hiker,Snowshoe,,0,,,0,0,1,C,--,--,--,--,--,--,--,--,--
149,"Paulina Peak, south of Bend",Oregon,"
3:00 PM
(Estimated)","1 snowmobiler caught, buried, and killed",Snowmobiler,Snowmobile,Backcountry,1,0,0,1,0,1,SS,AM - Snowmobile,u - An unintentional release,R3,D2,I - New/Old Interface,N,7200 ft,45 °,--
150,Granite Mountain,Washington,"
4:45 PM
(Estimated)","1 backcountry tourer caught, buried, and killed",Backcountry Tourer,Ski,,0,,,1,0,1,--,AS - Skier,u - An unintentional release,R3,D3,--,S,5200 ft,45 °,--
151,"Kicking Horse Valley, west of Haines",Alaska,"
11:02 AM
","1 heliski guide caught, buried, and died from injuries",Mechanised Guide,Ski,Backcountry,1,0,0,1,0,1,SS,AS - Skier,u - An unintentional release,R4,D3,O - Within Old Snow,N,4900 ft,36 °,--
152,"Cooke City, Montana",Montana,,"1 snowmobiler caught, buried, and killed",Snowmobiler,Snowmobile,,0,,,0,0,1,U,AM - Snowmobile,r - A remote avalanche released by the indicated trigger,--,--,O - Within Old Snow,--,--,--,--
153,"Altoona, about 10 miles northeast of Philipsburg, Montana",Montana,"
3:00 PM
(Estimated)",1 skier caught and killed,Backcountry Tourer,Ski,,0,,,0,0,1,U,--,--,--,--,--,--,--,--,--
154,"Gold Hill, Uinta Mountains",Utah,,"1 snowmobiler caught, buried, and killed",Snowmobiler,Snowmobile,,0,,,0,0,1,--,--,--,--,--,--,N,10200 ft,39 °,--
155,"Sharkstooth Peak, La Plata Mountains",Colorado,"
12:50 PM
","1 snowmobiler fully buried, missing and presumed dead",Snowmobiler,Snowmobile,Backcountry,1,0,0,1,0,1,SS,AM - Snowmobile,u - An unintentional release,R2,D2,O - Within Old Snow,E,11300 ft,--,Planar Slope
156,"Diablo Ridge, Pt. 12,505, approx. 1 mile W of Conejos Peak",Colorado,"
12:45 PM
(Estimated)","1 skier caught, buried, and killed",Ski Patroller,Ski,Backcountry,1,0,0,1,0,1,HS,AS - Skier,u - An unintentional release,R3,D3,O - Within Old Snow,NW,11700 ft,--,--
157,"Mount Jumbo, Missoula",Montana,,"1 snowplayer and 2 residents caught and buried, 1 resident killed",Resident,Foot,Town/Settlement,5,1,0,3,2,1,HS,AR - Snowboarder,u - An unintentional release,R4,D3.5,S - Within Storm Snow,NW,4480 ft,38 °,--
158,"Troy, West Cabinet Mountain Range",Montana,,"2 snowmobilers caught, 1 partly buried and 1 buried and killed",Snowmobiler,Snowmobile,,2,,,1,0,1,SS,AM - Snowmobile,--,--,--,O - Within Old Snow,--,--,--,--
159,Near Togwotee Pass,Wyoming,"
Unknown
","1 snowmobiler caught, buried, and killed",Snowmobiler,Snowmobile,Backcountry,1,0,0,1,0,1,SS,AM - Snowmobile,u - An unintentional release,R3,D2,--,SW,9100 ft,38 °,--
160,"Frenchman Creek, northwest of Galena Summit",Idaho,"
2:00 PM
(Estimated)","4 snowmobilers caught and buried, 1 killed",Snowmobiler,Snowmobile,,0,,,4,0,1,--,--,--,--,D3,--,NW,9000 ft,--,--
161,"Star Mountain, near Twin Lakes",Colorado,,"5 skiers caught, 3 injured, 2 killed",Backcountry Tourer,Ski,Backcountry,5,2,0,3,3,2,HS,AS - Skier,u - An unintentional release,R4,D4,O - Within Old Snow,NE,11606 ft,40 °,Planar Slope
162,"SW face of Cornucopia Peak, Wallowa Mountains",Oregon,"
12:00 PM
(Estimated)","5 backcountry skiers caught, 1 uninjured, 2 injured, 2 killed",Backcountry Tourer,Ski,Backcountry,5,1,1,2,2,2,SS,AS - Skier,u - An unintentional release,R4,D2,S - Within Storm Snow,S,8200 ft,36 °,"Ridgeline,Sparse Trees,Gully/Couloir"
163,"Near Kebler Pass, west of Crested Butte",Colorado,"
1:05 PM
","2 snowmobilers caught, 1 partially buried, 1 buried and killed",Snowmobiler,Snowmobile,Backcountry,2,1,0,1,0,1,SS,AM - Snowmobile,u - An unintentional release,R3,D2.5,S - Within Storm Snow,S,9700 ft,35 °,Planar Slope
164,"North Fork Swan River, south of Keystone Ski Area",Colorado,"
11:45 AM
(Estimated)","2 skiers caught, 1 partially buried, 1 buried and killed",Sidecountry Rider,Ski,Accessed BC from Ski Area,2,1,0,1,0,1,HS,AS - Skier,u - An unintentional release,R3,D3,O - Within Old Snow,SE,11942 ft,35 °,"Planar Slope,Below Cornice"
165,Left Fork Huntington Creek,Utah,"
Unknown
","1 snowmobiler caught, buried, and killed",Snowmobiler,Snowmobile,,1,,,1,0,1,--,--,--,--,--,--,NE,9600 ft,--,--
166,Near Tibble Fork Reservoir,Utah,"
Unknown
","1 snowshoer caught, buried, and lkilled",Snowplayer,Snowshoe,,1,,,1,0,1,--,--,--,--,--,--,--,6400 ft,--,--
167,"Lewis Peak, Cascades north of Stevens Pass",Washington,"
Unknown
",1 climber killed in cornice fall avalanche,Climber,Foot,Backcountry,1,1,0,0,0,1,C,AF - Foot penetration,u - An unintentional release,R3,D3,--,SE,5600 ft,--,"Ridgeline,Cornice,Unsupported Slope"
168,"East Vail, backcountry southeast of Vail Ski Area",Colorado,"
11:15 AM
","4 riders caught, 1 injured, 1 killed",Sidecountry Rider,Ski,Accessed BC from Ski Area,4,0,2,0,2,1,HS,AS - Skier,u - An unintentional release,R3,D3,O - Within Old Snow,E,11600 ft,36 °,Planar Slope
169,"Onion Basin, northern Gallatin Range",Montana,"
12:00 AM
(Estimated)","2 snowmobilers caught, 1 buried and killed",Snowmobiler,Snowmobile,Backcountry,2,1,0,1,0,1,SS,AM - Snowmobile,--,R3,D2.5,--,N,9200 ft,38 °,--
170,"Parkview Mountain, west of Willow Creek Pass",Colorado,"
1:21 PM
",One backcountry traveler buried and killed,Backcountry Tourer,Snowboard,Backcountry,1,0,0,1,0,1,HS,AR - Snowboarder,u - An unintentional release,R2,D2.5,O - Within Old Snow,NE,11000 ft,37 °,Convex Slope
171,"Pucker Face, near Jackson Hole Mountain Resort",Wyoming,"
12:51 PM
","One skier caught, buried, and killed.",Sidecountry Rider,Ski,Accessed BC from Ski Area,1,0,0,1,0,1,SS,AS - Skier,--,R3,D3,I - New/Old Interface,E,10300 ft,45 °,--
172,"Neely's, Palisades Peak",Idaho,,"One snowmobiler, caught, buried and killed",Snowmobiler,Snowmobile,,0,,,1,0,1,--,AM - Snowmobile,--,--,--,--,--,--,--,--
173,"Sheep Creek, north of Loveland Pass",Colorado,"
10:15 AM
(Estimated)","6 backcountry tourers caught, 1 partially buried, 5 buried and killed",Backcountry Tourer,Snowboard,Backcountry,6,1,0,5,0,5,HS,AR - Snowboarder,u - An unintentional release,R3,D3,O - Within Old Snow,N,11800 ft,41 °,"Planar Slope,Gully/Couloir"
174,"Ptarmigan Hill, near Vail Pass",Colorado,"
1:00 PM
",1 snowboarder caught and killed,Hybrid Rider,Snowboard,Backcountry,2,0,0,0,0,1,HS,AR - Snowboarder,u - An unintentional release,R4,D3.5,O - Within Old Snow,N,11850 ft,35 °,Below Cornice
175,Granite Mountain near Snoqualmie Pass,Washington,"
Unknown
","Three climbers caught, two injured, one buried and killed",Climber,Foot,,2,,,1,2,1,--,--,--,--,--,--,--,--,--,--
176,"Red Mountain, near Snoqualmie Pass",Washington,"
Unknown
","One snowshoer buried, died during evacuation",Hiker,Snowshoe,,0,,,1,0,1,--,--,--,--,--,--,--,--,--,--
177,"Kessler Peak, Big Cottonwood Canyon",Utah,"
Unknown
",1 skier caught and killed,Highway Personnel,Ski,Backcountry,1,0,0,0,0,1,SS,AS - Skier,--,R2,D2,I - New/Old Interface,E,9900 ft,45 °,"Unsupported Slope,Sparse Trees"
178,"Ypsilon Mountain, Rocky Mountain National Park",Colorado,"
12:00 AM
(Estimated)","2 climbers caught, 2 injured, 1 killed",Climber,Foot,Backcountry,2,0,0,0,1,1,SS,Unknown,--,R2,D1.5,I - New/Old Interface,NE,13100 ft,45 °,Gully/Couloir
179,"Takhinsha Mountains, southwest of Haines",Alaska,"
12:45 PM
(Estimated)","4 heliskiers caught in cornice fall, 2 injured, 1 killed",Mechanised Guiding Client,Foot,Backcountry,4,0,0,0,2,1,C,Unknown,--,--,--,--,--,--,--,"Ridgeline,Cornice"
180,"Nokhu Crags, Never Summer Mountains",Colorado,"
12:50 PM
(Estimated)","2 skiers caught, 1 partially buried-critical and injured, 1 buried and killed",Backcountry Tourer,Ski,Backcountry,2,0,1,1,1,1,HS,AS - Skier,u - An unintentional release,R3,D3,G - At Ground/Ice/Firm,E,11400 ft,--,Planar Slope
