,Location,State,Time,Summary Description,Primary Activity,Primary Travel Mode,Location Setting,Caught,"Partially Buried, Non-Critical","Partially Buried, Critical",Fully Buried,Injured,Killed,Type,Trigger,Trigger (subcode),Size - Relative to Path,Size - Destructive Force,Sliding Surface,Slope Aspect,Site Elevation,Slope Angle,Slope Characteristic
181,"Prospectors Mountain, Grand Teton National Park",Wyoming,"
9:45 AM
(Estimated)",1 ski mountaineer caught and killed,Backcountry Tourer,Ski,--,1,0,0,0,0,1,L,N -  Natural,--,R1,D1,--,N,9000 ft,45 °,--
182,"12 Mile Canyon, Manti Skyline",Utah,"
Unknown
","1 snowmobiler caught, buried, and killed",Snowmobiler,Snowmobile,Backcountry,1,0,0,1,0,1,SS,AM - Snowmobile,u - An unintentional release,--,--,O - Within Old Snow,NE,10400 ft,38 °,--
183,"Huntington Ravine, Mount Washington",New Hampshire,"
Unknown
",1 climber caught and killed,Climber,Foot,Backcountry,0,0,0,0,0,1,--,--,--,--,--,--,--,--,--,--
184,"Clothesline Path, Cement Creek, near Silverton",Colorado,"
1:30 PM
(Estimated)","3 skiers caught, 1 buried and killed, 1 partially buried, 1 injured",Backcountry Tourer,Ski,Backcountry,3,2,0,1,1,1,SS,AS - Skier,u - An unintentional release,R3,D2,O - Within Old Snow,SE,11690 ft,38 °,Convex Slope
185,"Survey Peak, Grand Teton National Park",Wyoming,"
5:00 PM
(Estimated)",1 backcountry tourer caught and killed,Backcountry Tourer,Ski,Backcountry,1,0,0,0,0,1,SS,AS - Skier,--,R2,D2,--,SE,8600 ft,38 °,--
186,"Clause Creek, southwest of Hoback Canyon",Wyoming,"
3:00 PM
(Estimated)",1 backcountry tourer caught and killed,Backcountry Tourer,Ski,Backcountry,1,0,0,0,0,1,SS,AS - Skier,--,R1,D1,O - Within Old Snow,E,9200 ft,45 °,--
187,"Mill Hollow, West Fork Duchesne",Utah,"
3:30 PM
(Estimated)","3 snowmobilers caught on foot, 2 buried and killed",Snowmobiler,Foot,Backcountry,3,0,0,2,0,2,HS,AF - Foot penetration,--,--,--,--,SE,8500 ft,36 °,Cornice
188,"Raspberry Creek, near Marble",Colorado,"
2:15 PM
","1 skier caught, buried, and killed",Backcountry Tourer,Ski,Backcountry,1,0,0,1,0,1,SS,AS - Skier,u - An unintentional release,R2,D2,G - At Ground/Ice/Firm,NW,10700 ft,43 °,Planar Slope
189,"Ships Prow Glades, Snowmass Ski Area",Colorado,"
Unknown
",1 ski patroller killed,Ski Patroller,Ski,Ski Area - closed area,1,0,0,0,0,1,SS,AS - Skier,u - An unintentional release,R1,D1,O - Within Old Snow,NE,11200 ft,40 °,Unsupported Slope
190,Donner Ski Ranch,California,"
9:30 AM
(Estimated)","1 snowboarder caught, buried, and killed",Inbounds Rider,Snowboard,,0,,,1,0,1,--,--,--,--,--,--,--,--,--,--
191,Alpine Meadows,California,"
10:45 AM
(Estimated)","1 ski patroller caught, buried and killed",Ski Patroller,Ski,,0,,,1,0,1,--,AE - An explosive thrown or placed on or under the snow surface by hand,--,--,--,--,--,--,--,--
192,"West Buttress, Denali",Alaska,"
2:00 AM
(Estimated)","Five climbers caught, 4 killed",Climber,Foot,,1,,,0,0,4,--,--,--,--,--,--,--,11800 ft,--,--
193,"Ophir Pass, Paradise Basin",Colorado,"
4:00 PM
","1 skier caught, buried and killed.",Backcountry Tourer,Ski,Backcountry,1,0,0,1,0,1,WS,AS - Skier,u - An unintentional release,R3,D3.5,O - Within Old Snow,SE,12800 ft,38 °,"Convex Slope,No Trees,Gully/Couloir"
194,"Takin Ridge, northwest of Haines",Alaska,"
10:33 AM
","2 heli-skiers caught, buried, and killed",Mechanised Guide,Ski,Backcountry,2,0,0,2,0,2,SS,AR - Snowboarder,u - An unintentional release,R4,D4,I - New/Old Interface,W,5000 ft,35 °,--
195,"Ranger Peak, Grand Teton National Park",Wyoming,"
Unknown
","2 backcountry skiers caught, buried, and killed",Backcountry Tourer,Ski,Backcountry,2,0,0,2,0,2,SS,AS - Skier,u - An unintentional release,R3,D3.5,O - Within Old Snow,SE,11300 ft,41 °,--
196,"Beaver Basin, La Sal Mountains",Utah,"
10:30 AM
(Estimated)","1 snowmobiler caught, buried, and killed",Snowmobiler,Snowmobile,Backcountry,1,0,0,1,0,1,SS,AM - Snowmobile,u - An unintentional release,R5,D3,G - At Ground/Ice/Firm,SE,10100 ft,10 °,--
197,"Forestdale Divide, Carson Pass",California,"
3:30 PM
(Estimated)","1 Snowmobiler caught, buried and killed",Snowmobiler,Snowmobile,Backcountry,1,0,0,1,0,1,HS,AM - Snowmobile,u - An unintentional release,R4,D3,O - Within Old Snow,NE,8400 ft,40 °,--
198,"Polaris Point, Ward Canyon",California,"
1:30 PM
(Estimated)","1 skier caught, buried and killed",Backcountry Tourer,Ski,Backcountry,1,0,0,1,0,1,SS,AS - Skier,u - An unintentional release,R4,D3,O - Within Old Snow,NE,7600 ft,39 °,--
199,"SE of Grouse Mountain, Togwotee Pass",Wyoming,"
3:30 PM
","One snowmobiler caught, buried and killed",Snowmobiler,Snowmobile,Backcountry,1,0,0,1,0,1,SS,AM - Snowmobile,u - An unintentional release,R3,D2.5,I - New/Old Interface,SE,8680 ft,38 °,Concave Slope
200,"Skyline Creek, near Marias Pass",Montana,"
12:00 PM
(Estimated)","2 snowbikers caught, 1 partially buried, 1 partly buried-critical and killed",Other,Snowmobile,Backcountry,2,1,1,0,0,1,HS,AV - Vehicle (specify vehicle type in comments),u - An unintentional release,R4,D2,O - Within Old Snow,--,5900 ft,--,--
201,"Dutch Draw, Park City ridgeline",Utah,"
3:00 PM
","1 snowboarder caught, buried, and killed",Sidecountry Rider,Snowboard,Accessed BC from Ski Area,1,0,0,1,0,1,SS,AR - Snowboarder,u - An unintentional release,--,--,O - Within Old Snow,E,9800 ft,40 °,--
202,"Daisy Pass Road, north of Cooke City",Montana,"
Unknown
","4 snowmobilers caught, 3 partialy buried, 1 buried and killed",Snowmobiler,Snowmobile,Backcountry,4,1,1,1,0,1,SS,Unknown,--,R2,D2,--,SW,9500 ft,45 °,--
203,"Lost Johnny drainage, east of Kalispell",Montana,"
4:00 PM
(Estimated)","2 snowmobilers caught, 1 partly buried, 1 buried and killed",Snowmobiler,Snowmobile,Backcountry,2,1,0,1,0,1,SS,AM - Snowmobile,u - An unintentional release,R4,D2,O - Within Old Snow,SE,5300 ft,38 °,--
204,"Tunnel Creek, near Stevens Pass",Washington,"
12:00 PM
","5 skiers caught, 1 partly buried, 3 buried and killed",Sidecountry Rider,Ski,Accessed BC from Ski Area,5,1,3,0,0,3,SS,AS - Skier,--,R2,D3,O - Within Old Snow,SW,5800 ft,42 °,--
205,WAC Bluffs near Aplental Ski Area,Washington,"
11:45 AM
(Estimated)","2 snowboarders caught, 1 carried over cliffs and killed",Sidecountry Rider,Snowboard,Accessed BC from Ski Area,2,0,0,0,0,1,SS,AR - Snowboarder,--,R2,D2,O - Within Old Snow,E,3800 ft,45 °,--
206,"Gibbs Creek, near Wolf Creek Pass",Colorado,"
11:45 AM
(Estimated)","3 skiers caught, 1 injured, 1 partially buried, 1 buried and killed",Backcountry Tourer,Ski,Backcountry,3,1,0,1,1,1,SS,AS - Skier,u - An unintentional release,R4,D2.5,O - Within Old Snow,W,11500 ft,40 °,Sparse Trees
207,"Contention Fingers, Bear Creek, Telluride",Colorado,"
12:00 PM
(Estimated)","1 snowboarder caught, buried and killed",Sidecountry Rider,Snowboard,Accessed BC from Ski Area,1,0,0,1,0,1,SS,AR - Snowboarder,u - An unintentional release,R4,D2,G - At Ground/Ice/Firm,E,10300 ft,38 °,Convex Slope
208,Lost Creek Reservior,Utah,,"2 snowmobilers caught, 1 buried and killed",Snowmobiler,Snowmobile,--,2,0,0,1,0,1,HS,AM - Snowmobile,u - An unintentional release,--,--,--,N,9800 ft,36 °,--
209,"Twin Lakes, Swan Range",Montana,"
Unknown
",1 backcountry skier caught and killed,Backcountry Tourer,Ski,,0,,,0,0,1,--,--,--,--,--,--,NE,--,--,--
210,"Little Giant, West Kessler, Big Cottonwood Canyon",Utah,"
11:00 AM
(Estimated)","1 snowboarder caught, buried, and killed",Backcountry Tourer,Snowboard,,0,,,1,0,1,--,--,--,--,--,--,NW,10200 ft,--,--
211,"Prima Cornice, Vail",Colorado,"
1:10 PM
(Estimated)","3 skiers caught, 1 injured, and 1 partially buried-critical and killed.",Inbounds Rider,Ski,--,3,1,1,0,1,1,SS,AS - Skier,u - An unintentional release,R3,D2,O - Within Old Snow,NE,10800 ft,46 °,Planar Slope
212,"Trestle Trees, Winter Park",Colorado,"
Unknown
","1 inbounds skier caught, buried, and killed",Inbounds Rider,Ski,Ski Area - open area,1,0,0,1,0,1,SS,AS - Skier,u - An unintentional release,R2,D2,O - Within Old Snow,N,10400 ft,45 °,--
213,"Chedsey Creek, North Park",Colorado,"
11:30 PM
(Estimated)","2 people on foot caught, 1 partially buried, 1 fully buried and killed",Snowmobiler,Foot,Backcountry,2,1,0,1,0,1,SS,AF - Foot penetration,u - An unintentional release,R3,D2,O - Within Old Snow,N,9478 ft,35 °,Sparse Trees
214,Burnt Mountain Near Snowmass Village,Colorado,"
1:30 PM
(Estimated)","One skier caught, buried and killed.",Sidecountry Rider,Ski,Accessed BC from Ski Area,1,0,0,1,0,1,SS,AS - Skier,u - An unintentional release,R2,D1.5,G - At Ground/Ice/Firm,NE,10490 ft,50 °,Planar Slope
215,"Phillipsburg, Flint Range, Red Lion",Montana,"
Unknown
","1 snowmobiler caught, buried, and killed",Snowmobiler,Snowmobile,,0,,,1,0,1,--,--,--,--,--,--,--,--,--,--
216,"Henderson Mountain, near Cooke City",Montana,"
Unknown
","1 snowmobiler, caught, partly buried-critical, and killed",Snowmobiler,Snowmobile,Backcountry,1,0,1,0,0,1,SS,AM - Snowmobile,--,R4,D3,--,NE,10200 ft,40 °,--
217,"Hayden Creek, south of Cooke City",Wyoming,"
Unknown
","1 skier caught, buried and killed.",Backcountry Tourer,Ski,--,1,0,0,1,0,1,SS,AS - Skier,--,R3,D2.5,--,N,9275 ft,35 °,--
218,"Gad Valley, Little Cottonwood Canyon",Utah,"
2:30 PM
(Estimated)","1 snowboarder caught, partially buried, and killed",Backcountry Tourer,Snowboard,Ski Area - closed area,1,1,0,0,0,1,SS,AR - Snowboarder,u - An unintentional release,--,--,O - Within Old Snow,NW,10300 ft,40 °,--
219,"Mount Frances, Denali National Park",Alaska,,2 climbers caught and killed (Preliminary),Climber,Foot,Backcountry,0,0,0,0,0,2,--,--,--,--,--,--,--,--,--,--
220,Torreys Peak,Colorado,"
1:05 PM
",1 snowboarder caught and killed,Backcountry Tourer,Snowboard,Backcountry,1,0,0,0,0,1,SS,AR - Snowboarder,u - An unintentional release,R2,D2,I - New/Old Interface,SE,13800 ft,38 °,Gully/Couloir
221,Ruth Gorge,Alaska,"
1:00 AM
(Estimated)","Icefall avalanche hits camp, 1 climber killed",Climber,Not Applicable,Backcountry,0,0,0,0,0,1,I,N -  Natural,--,--,--,--,--,--,--,--
222,"Split Mountain, south of Bishop",California,,2 skiers caught and killed,Backcountry Tourer,Ski,Backcountry,2,2,0,0,0,2,--,--,--,--,--,--,--,--,--,Gully/Couloir
223,"Bird Ridge, Chugach State Park",Alaska,"
Unknown
","Solo snowplayer caught, buried, and killed",Snowplayer,"Sled, tube, or saucer",Backcountry,1,0,0,1,0,1,--,--,--,--,--,--,--,1000 ft,--,--
224,"Garnet Canyon Meadows, Grand Teton National Park",Wyoming,,"2 backcountry tourers caught, buried, and killed while camped",Other,Not Applicable,Backcountry,2,0,0,2,0,2,--,--,--,--,--,--,--,--,--,--
225,"Highlands Ridge, Desolation Row, Aspen zone",Colorado,"
1:15 PM
",1 skier caught and killed,Sidecountry Rider,Ski,Sidecountry,1,0,0,1,0,1,SS,AS - Skier,u - An unintentional release,R1,D2,O - Within Old Snow,NW,10900 ft,--,"Sparse Trees,Gully/Couloir"
226,"Back country to the west of Stevens Pass, WA. Backside of Cowboy Mountain",Washington,"
4:30 PM
(Estimated)","1 snowboarder caught, partly buried, and killed",Sidecountry Rider,Snowboard,--,1,1,0,0,0,1,--,--,--,--,--,--,--,3800 ft,--,Unknown
227,Horsehoe Mountain,Utah,"
11:30 AM
(Estimated)","3 skiers caught, 1 partly buried, 1 partly buried-critical and killed.",Backcountry Tourer,Ski,Backcountry,3,1,1,0,0,1,HS,AS - Skier,u - An unintentional release,--,--,O - Within Old Snow,NE,10900 ft,--,--
228,"Hatch Peak, Hatcher Pass",Alaska,"
5:00 PM
(Estimated)","2 skiers caught, 1 injured and 1 killed",Backcountry Tourer,Ski,Backcountry,2,0,0,1,1,1,HS,AS - Skier,u - An unintentional release,R2,D2,O - Within Old Snow,SW,4500 ft,38 °,"Ridgeline,Unsupported Slope,Gully/Couloir"
229,Mount Cashmere,Washington,"
Unknown
",1 skier caught and killed,Backcountry Tourer,Ski,--,0,0,0,0,0,1,--,--,--,--,--,--,SW,5500 ft,--,--
230,"East Snowmass Creek Valley, Sand's Chute",Colorado,"
2:15 PM
(Estimated)","1 Skier caught, fully buried, and killed",Sidecountry Rider,Ski,Sidecountry,1,0,0,1,0,1,HS,AS - Skier,u - An unintentional release,R1,D2,O - Within Old Snow,NW,11200 ft,--,Gully/Couloir
231,Sand Peak-Flat Tops,Colorado,"
1:00 PM
(Estimated)","1 snowmobiler caught, buried and killed",Snowmobiler,Snowmobile,Backcountry,2,0,0,1,0,1,HS,AM - Snowmobile,u - An unintentional release,R3,D2,O - Within Old Snow,N,10700 ft,35 °,Concave Slope
232,"Truman Gulch, Bridger Range",Montana,"
1:00 PM
","1 snowboarder caught, buried, killed",Backcountry Tourer,Snowboard,Backcountry,1,0,0,1,0,1,HS,AR - Snowboarder,u - An unintentional release,R4,D2,O - Within Old Snow,--,8380 ft,40 °,Gully/Couloir
233,"Red Mountain,  Snoqualmie Pass  Washington",Washington,"
Unknown
","1 skier  on foot caught, buried and killed",Backcountry Tourer,Ski,Backcountry,1,0,0,1,0,1,C,AF - Foot penetration,u - An unintentional release,R1,D2,Unknown,NE,5890 ft,--,"Ridgeline,Cornice,Below Cornice"
234,"""High Trail Cliffs,"" northeast of Berthoud Pass",Colorado,"
1:30 PM
(Estimated)","1 snowboarder (and dog) caught, buried, and killed",Backcountry Tourer,Snowboard,Backcountry,1,0,0,1,0,1,SS,AR - Snowboarder,u - An unintentional release,R2,D2,I - New/Old Interface,NW,11300 ft,--,--
235,"Near Hungry Horse Reservoir, east of Kalispell",Montana,"
Unknown
","3 snowmobilers caught, 1 killed",Snowmobiler,Snowmobile,Backcountry,3,0,0,3,0,1,--,--,--,--,--,--,--,--,--,--
236,20 miles northeast of Calder,Idaho,"
Unknown
","1 snowmobiler caught, buried, and killed",Snowmobiler,Snowmobile,Backcountry,1,0,0,1,0,1,--,--,--,--,--,--,--,--,--,--
237,Dry Gulch-East of Eisenhower Tunnel,Colorado,"
11:30 AM
(Estimated)","2 skiers caught, 1 partially buried, 1 buried and killed",Backcountry Tourer,Ski,Backcountry,2,1,0,1,1,1,HS,AS - Skier,u - An unintentional release,R3,D3,O - Within Old Snow,N,11600 ft,35 °,Gully/Couloir
238,"Morning Star Peak, north central Washington Cascades",Washington,,"1 climber caught, partially buried, and killed",Climber,Foot,Backcountry,1,1,0,0,0,1,--,--,--,--,--,--,NE,3500 ft,50 °,Gully/Couloir
239,"Cherry Hill, western Uinta Mountains",Utah,"
Unknown
",1 snowmobiler caught and killed,Snowmobiler,Snowmobile,Backcountry,0,0,0,0,0,1,--,--,--,--,--,--,--,--,--,--
240,"Wolf Creek Pass Ski Area, Glory Hole Point",Colorado,"
7:30 AM
(Estimated)","Ski patroller caught, buried and killed",Ski Patroller,Ski,Ski Area - closed area,1,0,0,1,0,1,SS,AU - Unknown artificial trigger,--,R3,D2,O - Within Old Snow,NE,11676 ft,45 °,Planar Slope
241,"Lolo Peak, Montana",Montana,"
3:00 PM
(Estimated)","1 skier caught, carried into rocks, killed",Backcountry Tourer,--,Backcountry,1,0,0,0,0,1,WL,AS - Skier,Unknown,R1,D1,O - Within Old Snow,N,8489 ft,50 °,Gully/Couloir
242,"Ingraham Glacier, Mount Rainier",Washington,"
Unknown
",Preliminary report,Climber,Foot,Backcountry,1,0,0,1,0,1,--,--,--,--,--,--,--,--,--,--
243,"Werewolf and London Tower, Ruth Gorge",Alaska,"
Unknown
","2 climbers caught on descent, partially buried, and killed",Climber,Foot,Backcountry,0,0,0,0,0,2,--,--,--,--,--,--,--,--,--,Gully/Couloir
244,"McAtee Basin, Southern Madison Range",Montana,"
2:30 PM
","2 snowmobilers caught, 1 partially buried uninjured, 1 fully buried and killed",Snowmobiler,--,Backcountry,2,1,0,1,0,1,SS,AM - Snowmobile,u - An unintentional release,R3,D3,I - New/Old Interface,N,9300 ft,38 °,Convex Slope
245,Francis Peak northwest of Farmington,Utah,"
2:00 PM
(Estimated)","1 snowmobiler caught, buried, and killed",Snowmobiler,--,Backcountry,1,0,0,1,0,1,C,AM - Snowmobile,u - An unintentional release,--,--,--,E,9100 ft,--,Ridgeline
246,Indian Creek drainage northwest of Alpine,Wyoming,"
Unknown
","1 snowmobiler caught, buried, and killed",Snowmobiler,--,Backcountry,1,0,0,1,0,1,--,--,--,--,--,--,N,--,--,--
247,"Peak 6996 near Marias Pass, Glacier NP",Montana,"
1:00 PM
(Estimated)",1 snowboarder caught and killed,Backcountry Tourer,--,Backcountry,1,0,0,0,0,1,SS,AR - Snowboarder,u - An unintentional release,R2,D2,O - Within Old Snow,NE,6860 ft,33 °,--
248,"Near Baldy Peak, southeast of Ridgway",Colorado,,"1 ice climber, approaching on skis, caught, buried, killed",Backcountry Tourer,--,Backcountry,1,0,0,1,0,1,WS,N -  Natural,--,R3,D3,O - Within Old Snow,N,9302 ft,36 °,"Unsupported Slope,Gully/Couloir"
249,"Loyds Lake, McCall",Idaho,"
1:00 PM
(Estimated)","4 snowmobilers caught, 2 buried and killed, 1 partially buried, 1 rode off",Snowmobiler,Snowmobile,Backcountry,2,0,0,2,0,2,WS,AM - Snowmobile,u - An unintentional release,R4,D2,O - Within Old Snow,N,7250 ft,35 °,Convex Slope
250,Near Missoula Lake,Montana,"
6:00 PM
(Estimated)","1 snowmobiler caught, buried, killed",Snowmobiler,--,Backcountry,1,0,0,1,0,1,WS,AM - Snowmobile,u - An unintentional release,R3,D3,O - Within Old Snow,NW,6200 ft,35 °,--
251,Southwest of Creede,Colorado,"
Unknown
","2 people caught, buried and killed in a roof avalanche",Resident,--,Town/Settlement,2,0,0,2,0,2,R,Unknown,Unknown,R5,D2,--,NE,9000 ft,27 °,Roof
252,"North of Schweitzer Ski Area, Idaho Panhandle",Idaho,"
Unknown
","1 snowmobiler caught, buried, and killed",Snowmobiler,--,Backcountry,1,0,0,1,0,1,--,AM - Snowmobile,u - An unintentional release,R3,D3,O - Within Old Snow,--,--,35 °,--
253,Mt Antora,Colorado,"
Unknown
","1 snowmobiler, caught and killed",Snowmobiler,--,Backcountry,1,0,0,0,0,1,SS,AM - Snowmobile,--,R2,D2,O - Within Old Snow,W,12000 ft,--,Sparse Trees
254,"Steep Gully #1, backcountry near Arapahoe Basin Ski Area",Colorado,"
3:00 PM
(Estimated)",1 snowboarder partially buried critical and killed,Sidecountry Rider,--,Sidecountry,1,0,1,0,0,1,SS,AR - Snowboarder,u - An unintentional release,R2,D2,G - At Ground/Ice/Firm,NW,11720 ft,39 °,Gully/Couloir
255,Ashcroft- Near Lindley Hut,Colorado,"
4:00 PM
(Estimated)","1 skier caught, buried, and killed",Backcountry Tourer,--,Backcountry,1,0,0,1,0,1,SS,AS - Skier,u - An unintentional release,R3,D3,O - Within Old Snow,NW,10600 ft,37 °,Sparse Trees
256,"South Teton, Grand Teton National Park",Wyoming,"
11:30 AM
(Estimated)","1 skier triggered avalanche, swept over cliffs, killed",Backcountry Tourer,--,Backcountry,1,0,0,0,0,1,--,AS - Skier,--,--,--,--,SE,12200 ft,--,Unsupported Slope
257,"South Fork Eagle River, Alaska Three Bowls",Alaska,"
4:10 PM
","1 skier caught, buried, and killed",Backcountry Tourer,Ski,Backcountry,1,0,0,1,0,1,HS,AS - Skier,u - An unintentional release,R3,D3,G - At Ground/Ice/Firm,NW,3850 ft,35 °,Concave Slope
258,"Grandview, Placer River Drainage, Chugach NF",Alaska,"
11:00 AM
(Estimated)","3 snowmobilers caught, 2 buried and killed",Snowmobiler,--,Backcountry,3,1,0,0,0,2,SS,AM - Snowmobile,u - An unintentional release,R3,D3,I - New/Old Interface,SE,1700 ft,39 °,Concave Slope
259,"Near Ridgway Hut, Sneffels Range",Colorado,"
3:00 PM
","2 skiers caught, 1 fully buried, 1 killed",Backcountry Tourer,--,Backcountry,2,0,0,1,1,1,SS,AS - Skier,u - An unintentional release,R3,D2,G - At Ground/Ice/Firm,E,11650 ft,42 °,"Convex Slope,Unsupported Slope,Dense Trees"
260,"North Fork of Murphy Creek, Wyoming Range",Wyoming,"
Unknown
","1 snowmobiler caught, buried, and killed",Snowmobiler,--,Backcountry,1,0,0,1,0,1,--,AM - Snowmobile,--,--,--,--,N,9000 ft,--,--
261,Garns Mtn in the Big Hole Range west of Driggs,Idaho,"
1:00 PM
(Estimated)","1 snowmobiler caught, buried, and killed",Snowmobiler,--,Backcountry,1,0,0,1,0,1,--,--,--,--,--,--,--,--,--,--
262,"Grandview Peak, Sessions Mountains, east of Bountiful",Utah,"
2:00 PM
(Estimated)","1 snowmobiler caught, buried, rescued, died in hospital",--,--,Backcountry,1,0,0,1,0,1,HS,AM - Snowmobile,u - An unintentional release,--,--,O - Within Old Snow,N,9000 ft,38 °,--
263,"Near Boardman Pass, Soldier Mountains",Idaho,"
3:00 PM
(Estimated)","1 snowmobiler caught, buried, killed",Snowmobiler,--,Backcountry,1,0,0,1,0,1,SS,AM - Snowmobile,u - An unintentional release,R2,D3,O - Within Old Snow,W,9300 ft,37 °,"Planar Slope,No Trees"
264,"Meadows, Silver Fork, UT",Utah,"
Unknown
","1 skier caught, buried and killed",Backcountry Tourer,--,Backcountry,1,0,0,1,0,1,HS,AS - Skier,u - An unintentional release,R3,D3,O - Within Old Snow,E,8600 ft,35 °,Gully/Couloir
265,"Hells Canyon, near Snowbasin Ski Area",Utah,"
1:00 PM
(Estimated)","1 sidecountry skier caught, killed",Sidecountry Rider,--,Sidecountry,1,0,1,0,0,1,HS,AS - Skier,u - An unintentional release,--,--,O - Within Old Snow,NE,8600 ft,--,Ridgeline
266,"Sun Valley Ski Resort, in bounds but off trail",Idaho,"
2:00 PM
(Estimated)","1 skier caught, buried and killed",Inbounds Rider,Ski,Ski Area - open area,1,0,0,1,0,1,SS,AS - Skier,u - An unintentional release,R2,D2,O - Within Old Snow,NE,7300 ft,38 °,Planar Slope
267,"Cheyenne Bowl, Jackson Hole Mountain Resort",Wyoming,"
8:26 AM
","Ski patroller caught and fully buried during control work, died of injuries",Ski Patroller,--,Ski Area - closed area,2,0,0,1,0,1,HS,AE - An explosive thrown or placed on or under the snow surface by hand,--,R3,D3,O - Within Old Snow,NE,9350 ft,34 °,--
268,Battle Mountain - outside Vail Mountain ski area,Colorado,,"1 snowboader caught, partially buried critical and killed",Sidecountry Rider,--,Sidecountry,1,0,1,0,0,1,SS,AR - Snowboarder,Unknown,R3,D2,O - Within Old Snow,NW,10900 ft,37 °,"Planar Slope,Dense Trees"
269,"Scotch Bonnet Mountain, near Lulu Pass",Montana,"
Unknown
","1 Snowmobiler caught, buried, and killed",Snowmobiler,--,Backcountry,1,0,0,1,0,1,HS,AM - Snowmobile,u - An unintentional release,R3,D2,O - Within Old Snow,S,10054 ft,35 °,--
270,Near Paulina Peak,Oregon,"
Unknown
","1 Snowmobiler caught, buried, and killed",Snowmobiler,--,Backcountry,1,0,0,1,0,1,SS,AM - Snowmobile,u - An unintentional release,R4,D2,O - Within Old Snow,N,7350 ft,34 °,--
271,"Rock Lake, Cascade, Idaho",Idaho,"
1:30 PM
(Estimated)","2 snowmobilers caught, buried, 1 rescued, 1 killed",Snowmobiler,Snowmobile,Backcountry,1,0,0,1,0,1,SS,AM - Snowmobile,u - An unintentional release,R3,D2,G - At Ground/Ice/Firm,--,7832 ft,38 °,"Concave Slope,Ridgeline,Cornice,No Trees"
272,"Hyalite Drainage, northern Gallatins, Bozeman",Montana,"
9:30 AM
(Estimated)",Hyalite Avalanche Fatality,Climber,Foot,Backcountry,1,0,1,0,0,1,--,AO - Unclassified artificial trigger (specify in comments),u - An unintentional release,R3,D2,O - Within Old Snow,W,9500 ft,38 °,Gully/Couloir
